episode_number,episode_reward
1,-30.0
2,-28.95172671960848
3,-29.29908153238402
4,-27.724311149288013
5,-27.37926538114663
6,-26.149387817622195
7,-25.270903843676166
8,-24.346983097475803
9,-24.641762753311824
10,-24.87698771763984
11,-25.9760857028596
12,-25.8947452276213
13,-26.517607488027036
14,-26.909206953167963
15,-26.448593156290098
16,-26.67023370030723
17,-26.509869261932902
18,-25.98100478363633
19,-26.60915249243693
20,-26.378637291542567
21,-25.979654563373874
22,-26.154035182404005
23,-26.19059199449792
24,-26.76517305482649
25,-27.25424431714927
26,-27.59061953572045
27,-27.38355955291599
28,-27.150973739420046
29,-27.31751041883258
30,-27.306896148490864
31,-27.45828659531374
32,-27.41012536967397
33,-27.79139292249888
34,-27.88576371889597
35,-27.83146081159044
36,-27.891001940002763
37,-27.866920806489176
38,-27.870422890528936
39,-28.053232560002552
40,-28.326901746002488
41,-28.41646142230851
42,-28.239879007491645
43,-27.885463216619744
44,-28.092611779878386
45,-28.09012123904517
46,-28.131573163364873
47,-28.086167068129683
48,-28.751038587543647
49,-28.53162963677745
50,-28.580607792889573
51,-28.70504791390545
52,-28.537621001610145
53,-28.47087343554203
54,-28.3321635097428
55,-28.5079423550202
56,-28.37387195582341
57,-28.8230135256236
58,-28.96273836078008
59,-29.03116652415669
60,-29.58051299230234
61,-29.65270573794163
62,-29.4808879034587
63,-29.568492857372057
64,-29.434592163890454
65,-29.25837593740573
66,-29.19385508986928
67,-29.101316822228473
68,-29.12923863366629
69,-29.08360528306799
70,-29.03955377902416
71,-29.038996683544944
72,-28.96899462508668
73,-29.06530976720878
74,-29.0238866622465
75,-28.91690150674988
76,-28.799467994988643
77,-28.788832533266497
78,-28.74025775719898
79,-28.73047051413389
80,-28.894720431954465
81,-28.834291784646386
82,-28.811227676754974
83,-28.7773464072589
84,-28.718753300807798
85,-28.674453526866515
86,-28.608471509112253
87,-28.486535054984525
88,-28.491970697436706
89,-28.520092845337015
90,-28.469869591499936
91,-28.354816079505433
92,-28.329132802694456
93,-28.218066858579462
94,-28.19447040263713
95,-28.10818636352843
96,-28.096642755575008
97,-28.023481490053616
98,-28.03343421438521
99,-28.033096495047985
100,-27.972672017294457
101,-27.88234267284503
102,-27.923113512876693
103,-27.833175601297345
104,-27.862837840377985
105,-27.902835502037668
106,-27.87272216855607
107,-27.872641714685027
108,-27.853846335944294
109,-27.803765882073254
110,-27.823825758107333
111,-27.684155102556762
112,-27.65415510255676
113,-27.63415510255676
114,-27.643960476980595
115,-27.673960476980596
116,-27.554012058374955
117,-27.634377050319355
118,-27.804462448538906
119,-27.675304336030425
120,-27.78402741903523
121,-27.8436980745858
122,-27.78553779276543
123,-27.77558937415979
124,-27.635783999735953
125,-27.43561386795134
126,-27.324325435701635
127,-27.374325435701635
128,-27.495613867951338
129,-27.3758084935275
130,-27.445817670441688
131,-27.305817670441687
132,-27.25639581103762
133,-27.076395811037617
134,-27.15606646658819
135,-27.156214846956168
136,-27.07638497874079
137,-27.126033694648555
138,-27.106033694648556
139,-26.966033694648555
140,-26.836033694648552
141,-26.736045209903054
142,-26.746045209903055
143,-26.99571586545363
144,-26.855715865453632
145,-26.805901314115605
146,-26.74593221653809
147,-26.78564537909147
148,-26.405620245964577
149,-26.48562024596458
150,-26.365814871540742
151,-26.246430998412148
152,-26.25636205979561
153,-26.26636205979561
154,-26.256556685371773
155,-26.086556685371775
156,-26.146556685371774
157,-25.76677636860495
158,-25.57750582895796
159,-25.41750582895796
160,-25.047574767574496
161,-24.897732062811507
162,-24.947706929684614
163,-24.737593596203013
164,-24.747605111457514
165,-24.777605111457515
166,-24.757605111457515
167,-24.806838473626577
168,-24.676838473626574
169,-24.706067633594913
170,-24.706067633594913
171,-24.596067633594913
172,-24.56607914884942
173,-24.405475511911867
174,-24.335474206791897
175,-24.355474206791897
176,-24.445529527536042
177,-24.41572415311221
178,-24.41572415311221
179,-24.346053497561634
180,-24.1072684042928
181,-24.02666476735525
182,-23.967234417979743
183,-23.867181506473283
184,-23.888626251819623
185,-23.78909352666164
186,-23.79909352666164
187,-23.81909352666164
188,-23.75944481075387
189,-23.66941593827719
190,-23.649390805150297
191,-23.66938162823611
192,-23.57938162823611
193,-23.62938162823611
194,-23.62926829475451
195,-23.599293427881403
196,-23.5692934278814
197,-23.52923355184732
198,-23.448641430164276
199,-23.358312085714847
200,-23.35839642160371
201,-23.368645312182096
202,-23.268839937758262
203,-23.298839937758263
204,-23.20917769867762
205,-23.07918921393213
206,-23.088337081805893
207,-23.168417535676937
208,-23.248417535676936
209,-23.318303363971815
210,-23.228108738395647
211,-23.25810873839565
212,-23.278108738395648
213,-23.168189192266688
214,-23.08838381784285
215,-23.078340245693575
216,-23.128340245693575
217,-23.05853487126974
218,-22.92853720961006
219,-22.94850630718757
220,-22.829528256766398
221,-22.867470694736603
222,-22.85743979231412
223,-22.85743979231412
224,-22.80743979231412
225,-22.827493248429246
226,-22.828781680678947
227,-22.718781680678948
228,-22.63878168067895
229,-22.598750778256466
230,-22.498670324385426
231,-22.548419738729766
232,-22.618670324385427
233,-22.668146651442363
234,-22.48847599589179
235,-22.428395542020752
236,-22.47847599589179
237,-22.30881810306984
238,-22.28881810306984
239,-22.26881810306984
240,-22.16881810306984
241,-22.188558589095596
242,-22.168558589095596
243,-21.988887933545026
244,-22.02887641829052
245,-22.008805141333667
246,-21.968795964419478
247,-21.89910793499299
248,-21.95893844254372
249,-21.898938442543717
250,-22.008907540121232
251,-22.009020873602836
252,-21.968272601222285
253,-21.948272601222286
254,-21.967943256772855
255,-21.887613912323427
256,-21.797613912323428
257,-21.857635637831724
258,-21.877635637831723
259,-21.95763563783172
260,-21.94620240773989
261,-21.956202407739887
262,-21.94622754086678
263,-21.96634087434838
264,-22.06634087434838
265,-22.105965849300055
266,-22.065965849300056
267,-21.975589954292374
268,-21.95558995429237
269,-21.84558995429237
270,-21.77558995429237
271,-21.755589954292372
272,-21.73526060984295
273,-21.705396971938477
274,-21.735131794387577
275,-21.684402334034573
276,-21.623823830223913
277,-21.643823830223916
278,-21.643823830223916
279,-21.613814653309724
280,-21.673895107180766
281,-21.724467841695827
282,-21.744467841695826
283,-21.784335304540313
284,-21.744273216119662
285,-21.764273216119662
286,-21.734273216119664
287,-21.754273216119664
288,-21.704248082992773
289,-21.774328536863813
290,-21.723065237741004
291,-21.69307441465519
292,-21.693154868526232
293,-21.67315486852623
294,-21.63326820200783
295,-21.643073576431664
296,-21.592469939494116
297,-21.612255304612198
298,-21.67284742629524
299,-21.67244731039166
300,-21.622396611271775
301,-21.592477065142813
302,-21.552363731661213
303,-21.482363731661213
304,-21.56236373166121
305,-21.55100383462832
306,-21.5517187145805
307,-21.461115077642948
308,-21.38111507764295
309,-21.270980358769684
310,-21.221174984345847
311,-21.18116580743166
312,-21.07116580743166
313,-21.120915221776
314,-21.040915221776
315,-21.010878340054237
316,-20.940869163140047
317,-20.877962884812124
318,-20.81797206172631
319,-20.707922510277754
320,-20.64818899294863
321,-20.540575899427854
322,-20.49003715122584
323,-20.369770668554967
324,-20.319770668554966
325,-20.399773172519335
326,-20.319773172519334
327,-20.299773172519334
328,-20.219659839037735
329,-20.24969074146022
330,-20.17977119533126
331,-20.130012604072732
332,-20.049683259623304
333,-19.940287386437404
334,-19.880287386437406
335,-19.870342707181553
336,-19.79034270718155
337,-19.830157258519577
338,-19.780157258519576
339,-19.800157258519576
340,-19.890097382485497
341,-19.910276442588696
342,-19.92019598871766
343,-19.849230523109828
344,-19.77924203836433
345,-19.778993147785943
346,-19.71900232470013
347,-19.64900232470013
348,-19.579196950276295
349,-19.569196950276297
