episode_number,episode_reward
1,-19.0
2,-27.0
3,-26.666666666666668
4,-27.75
5,-28.0
6,-27.0
7,-26.571428571428573
8,-27.25
9,-27.11111111111111
10,-26.699552550130086
11,-26.363225873288663
12,-26.416224483706923
13,-26.614976446498698
14,-26.35676384317736
15,-26.665385780662042
16,-26.686299169370663
17,-26.88047045136323
18,-26.831555426287494
19,-26.629894614377626
20,-26.398399883658744
21,-26.33165102195739
22,-26.179582001242817
23,-26.345666403820676
24,-26.372816984599655
25,-26.51790430521567
26,-26.38256967132045
27,-26.22025227608636
28,-26.14095755194042
29,-25.998165912218337
30,-25.798227048477724
31,-25.740219724333283
32,-25.592087857947867
33,-25.452768161653577
34,-25.38062792160494
35,-25.226894311350843
36,-25.16503613603554
37,-25.02429051221263
38,-24.997183391507953
39,-24.894673169474856
40,-24.922015103007045
41,-24.89952692976297
42,-24.99715724095909
43,-24.99722335163446
44,-25.065318297280523
45,-25.041644557340955
46,-25.04066736130848
47,-25.060824499729684
48,-25.017890655985315
49,-24.99711737729174
50,-25.017175029745903
51,-25.075661793868534
52,-25.112644787135007
53,-25.1670773260512
54,-25.237965521929233
55,-25.1609116033487
56,-25.104466753288904
57,-25.01487991851753
58,-24.94565785095688
59,-24.895731446703376
60,-24.83080258925832
61,-24.833576317303265
62,-24.803881771637005
63,-24.79111487281051
64,-24.685003702922845
65,-24.64369595364711
66,-24.679397530107
67,-24.69910801473227
68,-24.67412113216268
69,-24.64983144950609
70,-24.654547696199284
71,-24.588990686393657
72,-24.56691040669099
73,-24.50434999016098
74,-24.483940465719808
75,-24.504154592843545
76,-24.444839154451458
77,-24.439051392860975
78,-24.356499451926858
79,-24.339302767950432
80,-24.322561483351052
81,-24.318579242815854
82,-24.27810876424493
83,-24.27475805624198
84,-24.283391888905765
85,-24.256528454918637
86,-24.218486265884092
87,-24.261951940988872
88,-24.21352066893218
89,-24.21094888447407
90,-24.208460650909526
91,-24.217158885514916
92,-24.23629630668648
93,-24.2444796943435
94,-24.231233865967063
95,-24.228770961008912
96,-24.205554596831735
97,-24.224043020923677
98,-24.221756867648946
99,-24.209407714365575
100,-24.167305228584336
101,-24.257305228584336
102,-24.157305228584338
103,-24.117305228584335
104,-24.037305228584337
105,-23.957298876181696
106,-23.927291662070118
107,-23.89729166207012
108,-23.81729166207012
109,-23.75729166207012
110,-23.777336407057113
111,-23.78733681600837
112,-23.727344724025286
113,-23.687344724025287
114,-23.707248670746786
115,-23.667337824222386
116,-23.6173369193633
117,-23.53746480973086
118,-23.46738785489195
119,-23.46738785489195
120,-23.467189664392887
121,-23.43714436515589
122,-23.427263121401793
123,-23.407236035557602
124,-23.387205618936818
125,-23.30720561893682
126,-23.267191681623103
127,-23.277191681623105
128,-23.2571916816231
129,-23.267191681623103
130,-23.307191681623102
131,-23.27696762439619
132,-23.286847299827315
133,-23.31690192102495
134,-23.34690192102495
135,-23.376861958857436
136,-23.436861958857435
137,-23.42720300253412
138,-23.437214908402375
139,-23.497022217913695
140,-23.45713871280607
141,-23.45709542123922
142,-23.45709542123922
143,-23.46701855680278
144,-23.447084547202167
145,-23.417084547202165
146,-23.397100187113907
147,-23.407209485214395
148,-23.417143337931815
149,-23.387140361726278
150,-23.37708179514642
151,-23.32708179514642
152,-23.31709402070917
153,-23.257091578704923
154,-23.197128124222427
155,-23.217128124222427
156,-23.19702805212663
157,-23.226694413741303
158,-23.3066944137413
159,-23.34659838389211
160,-23.396598383892112
161,-23.37659838389211
162,-23.36663071749012
163,-23.386635046034442
164,-23.466635046034444
165,-23.516635046034445
166,-23.46651009465081
167,-23.476464574110906
168,-23.536464574110905
169,-23.56648250085544
170,-23.546583982561916
171,-23.596583982561913
172,-23.6265918770839
173,-23.66659052421057
174,-23.6465193572585
175,-23.616511925654873
176,-23.656498223576886
177,-23.655886124926834
178,-23.725879575630966
179,-23.735899961453075
180,-23.75576273971025
181,-23.765762739710247
182,-23.845710074733773
183,-23.825709327595394
184,-23.785443998779087
185,-23.79518578164605
186,-23.865268719202923
187,-23.84524640700523
188,-23.865226383638678
189,-23.85461402915722
190,-23.854743950520575
191,-23.864743950520573
192,-23.85455336384689
193,-23.78449172740638
194,-23.794380734331394
195,-23.774399667161507
196,-23.774399667161507
197,-23.744332000576982
198,-23.744320556706704
199,-23.74432864978075
200,-23.804337058418334
201,-23.77432034201758
202,-23.804320342017583
203,-23.82398492566584
204,-23.883984925665843
205,-23.95398321267843
206,-24.003990426790004
207,-24.07393713109528
208,-24.05393713109528
209,-24.10392521499676
210,-24.143917687125487
211,-24.133584443521595
212,-24.183584443521596
213,-24.18327630195534
214,-24.17334118545614
215,-24.1233790508058
216,-24.13337995566488
217,-24.183339046684306
218,-24.223371062935968
219,-24.21276120001593
220,-24.232959390515
221,-24.233037537680858
222,-24.24305745577259
223,-24.20288969238119
224,-24.222931611690555
225,-24.202823536362953
226,-24.2224032856118
227,-24.232333448371254
228,-24.231083256474697
229,-24.23095590507009
230,-24.25982501903904
231,-24.269506496051186
232,-24.299407075638538
233,-24.299322539559007
234,-24.299322539559007
235,-24.319355081968595
236,-24.24933644308271
237,-24.28941479430267
238,-24.269460689180068
239,-24.24966053234657
240,-24.24966053234657
241,-24.249686392844655
242,-24.20955550516953
243,-24.18962751626015
244,-24.149569202041377
245,-24.189467768749545
246,-24.209396133026498
247,-24.178934214920282
248,-24.178993809719163
249,-24.208754020463576
250,-24.2087963335983
251,-24.2387963335983
252,-24.238610725284946
253,-24.238637473792263
254,-24.25864249965491
255,-24.308557963971957
256,-24.348617134693537
257,-24.358322682982813
258,-24.2883191519957
259,-24.248398180979507
260,-24.218396072589186
261,-24.24834177231598
262,-24.27838429385802
263,-24.288376731869324
264,-24.277872520896526
265,-24.22567716426402
266,-24.23527340686933
267,-24.205311579201076
268,-24.155311579201076
269,-24.114851197404224
270,-24.104896666033156
271,-24.094855786431143
272,-24.023899918872306
273,-24.023893526846447
274,-24.074024241983363
275,-24.12391329760919
276,-24.14386691186293
277,-24.164320184574134
278,-24.164326733870006
279,-24.16431654793929
280,-24.154432998718512
281,-24.143684590955928
282,-24.103736826260327
283,-24.132889566309096
284,-24.18310199537541
285,-24.193352789989795
286,-24.163420850453445
287,-24.142860608582563
288,-24.1628070460254
289,-24.133552410567358
290,-24.133549626585538
291,-24.083258835777016
292,-24.102936178489543
293,-24.172102475195544
294,-24.181563674729794
295,-24.20156076540798
296,-24.221504135963563
297,-24.25140594008405
298,-24.26134458110974
299,-24.28134458110974
300,-24.230391439595834
301,-24.220315545097925
302,-24.15030308357606
303,-24.110607483287836
304,-24.060590175386096
305,-23.98050785241667
306,-24.000156883035032
307,-23.94010768394739
308,-23.969970294484707
309,-23.929820842001273
310,-23.83960184765255
311,-23.84990747165172
312,-23.798965585421893
313,-23.779180608286325
314,-23.78907710471644
315,-23.777983158441316
316,-23.737768600943433
317,-23.707809509924004
318,-23.70547324614288
319,-23.716075326123526
320,-23.705889919422752
321,-23.715260142337925
322,-23.735246369366465
323,-23.74532145864626
324,-23.675219832937458
325,-23.70462518653054
326,-23.714756160147218
327,-23.7245445572998
328,-23.76562010323719
